IdStation,CodePostal,TypeRoute,Long,Lat
53200005,53203,R,-68633.5151848,4782953.70827
53200006,53200,R,-70700,4781500
53210001,53210,R,-64343,4808533
53230001,53230,R,-91500,4793900
53230003,53230,R,-91107.767,4794461.95
53240001,53240,R,-78277.761,4817400.171
53270001,53270,A,-35810,4800083
53300003,53300,R,-62468.13,4839606.95
53320002,53320,R,-93500,4806600
53370001,53370,R,-10515,4840029
53400001,53400,R,-97100,4784300
53400002,53400,R,-96842,4784307
53410001,53410,R,-96600,4816000
53410003,53410,R,-101600,4807400
53410004,53410,R,-102700,4811400
53480002,53480,R,-47500,4803900
53500001,53500,R,-92800,4829000
53500003,53500,R,-91300,4829700
53500004,53500,R,-92665.4863355,4829239.99416
53600001,53600,R,-41300,4814700
53600002,53600,R,-40900,4815000
53600003,53600,R,-40444.2846935,4815261.37425
53600004,53600,R,-38250,4815580
53600007,53600,R,-40300,4815600
53700001,53700,R,-26950.407978172,4834056.1388988
53800001,53800,R,-106719.574,4779260.231
53810001,53810,R,-78200,4810000
53940001,53940,R,-81053.2731764,4806544.87762
53950001,53950,R,-72316.893,4812124.034
53960001,53960,A,-69700,4807900
53960002,53960,A,-69512.506,4809629.306
53960003,53960,R,-69214,4807229
53970001,53970,R,-76900,4802500
54000001,54000,R,619300,4868000
54000003,54000,R,616400,4868900
54000004,54000,R,616986,4870470
54000005,54000,R,619331,4869081
54000007,54000,R,616700,4869700
54000008,54000,R,616752,4869247
54000009,54000,R,617872,4868102
54000010,54000,R,617000,4870500
54000011,54000,R,619331,4869081
54110001,54110,R,635200,4861000
54110002,54110,R,634876,4862344
54120002,54120,R,674080,4845803
54120004,54120,R,673725.192178,4844227.84686
54121001,54121,R,603800,4895100
54130001,54130,R,621350,4870218
54130002,54130,R,620580,4869998
54134001,54134,R,614953,4853224
54135001,54135,R,579061,4949816
54140001,54140,R,620700,4867000
54150001,54150,R,593700,4925400
54150002,54150,R,594100,4925800
54150003,54150,R,592694.053936,4924903.60694
54170001,54170,R,589412,4852333
54170002,54170,R,589806,4853176
54170003,54170,R,589800,4853200
54170004,54170,R,584400,4857800
54182001,54180,R,618300,4864100
54200002,54200,R,588828,4867219
54200004,54200,A,591218,4866350
54200005,54200,R,588646,4867302
54200007,54200,R,588844.048044,4866434.57679
54200008,54200,R,587209,4867986
54200009,54200,A,0,0
54200011,54200,A,0,0
54200012,54200,R,588828,4867219
54204001,54200,R,592500,4867400
54210001,54210,R,48.634,6.297
54210002,54210,R,628200,4862000
54220001,54220,R,619189,4870491
54230001,54230,R,610399,4861467
54230002,54230,R,609563,4861289
54240001,54240,R,601531,4922573
54240002,54240,R,601485,4922542
54250001,54250,R,608800,4871500
54260001,54260,R,563200,4950700
54260002,54260,R,,
54260003,54260,R,559600,4945000
54270001,54270,R,624600,4870300
54270002,54270,R,623528,4870762
54280002,54280,R,624935.70160388,4871324.3511792
54280003,54280,R,624935.70160388,4871324.3511792
54290001,54290,R,631258.506253,4847017.85367
54300001,54300,R,651831.142347,4857879.09256
54300002,54300,R,647738,4859664
54300003,54300,R,648198,4858440
54300004,54300,R,644159.403018,4860207.26642
54300005,54300,R,642599.690486,4859064.54138
54300006,54300,R,649244,4860039
54300007,54300,R,652800,4859200
54300008,54300,R,648200,4859700
54300010,54360,R,650700,4858900
54300011,54300,A,644159.403018,4860207.26642
54300012,54300,R,648198,4858440
54310001,54310,R,599863,4922448
54320001,54320,R,617500,4871000
54330001,54330,R,609356.595,4848658.637
54340001,54340,R,613205,4877942
54360002,54360,R,639300,4855700
54380003,54380,R,606557,4883838
54380004,54380,R,607111,4884640
54390001,54390,R,614914,4874238
54390002,54390,R,613600,4875800
54400001,54400,R,576302.142347,4952833.89762
54450001,54450,R,672600,4854900
54450002,54450,R,680600,4864400
54450003,54450,R,684452,4858692
54460001,54460,R,608136,4874980
54470002,54470,R,586734.687711,4895326.47924
54480001,54480,R,694300,4857900
54490002,54490,R,576672.596,4930895.455
54500002,54500,R,614633,4864965
54500003,54500,R,618581.501692,4865457.19983
54500004,54500,R,618344,4865991
54500005,54500,R,617700,4865400
54500007,54500,R,618581.501692,4865457.19983
54500008,54500,R,614633,4864965
54510001,54510,R,622000,4868500
54520001,54520,R,612776.14592,4869121.06069
54520002,54520,R,611971.749249,4867947.5141
54520003,54520,R,613273,4869415
54520004,54520,R,613100,4869400
54520005,54520,R,613189.717093,4869407.41618
54520006,54520,R,613273,4869415
54520007,54520,R,613189.717093,4869407.41618
54530002,54530,R,602600,4897800
54600001,54600,R,615342,4867308
54600002,54600,R,616284.44861219,4867516.2484744
54600004,54600,R,611237,4865734
54600005,54600,R,615342,4867308
54610001,54610,R,623214,4888701
54630001,54630,A,617385,4860743
54670002,54670,R,614540,4879288
54670004,54670,R,614503.3,4879284.5
54700002,54700,A,608777.352389,4885585.63022
54700004,54700,A,609379.437759,4886335.06162
54700005,54700,R,605800,4892100
54700006,54700,R,604400,4890900
54700008,54700,A,609142.665,4886055.084
54700009,54700,R,606500,4891700
54700010,54700,A,608777.352389,4885585.63022
54710001,54710,R,617530.41191102,4861646.7979919
54800001,54800,R,586370.855867,4916569.54684
54800003,54800,R,583600,4916400
54800004,54800,R,588111,4915977
54800005,54800,R,587253,4916055
54800006,54800,R,589200,4915400
54830001,54830,R,651400,4849700
54840004,54840,R,596900,4869100
54920001,54920,R,582798,4947503
54970001,54970,R,579854,4931904
55000001,55000,R,517900,4875400
55000002,55000,R,517301,4876891
55000003,55000,R,513690.171,4878977.104
55000004,55000,R,519200,4875700
55000005,55000,R,514031,4878680
55000007,55000,R,517305,4876889
55000008,55000,R,517305,4876889
55000010,55000,R,517219.514,4876926.286
55100001,55100,R,540471,4914683
55100002,55100,R,537977,4916454
55100003,55100,R,538714,4916754
55100004,55100,R,538000,4916500
55100005,55100,R,539711,4915153
55100007,55100,R,537977,4916454
55110001,55110,R,518290,4939084
55120001,55120,R,506845.36033295,4910482.9792036
55130001,55130,R,550427,4851838
55130002,55130,R,548083,4854984
55140001,55140,R,566686,4860362
55160010,55160,A,551845.376601,4911918.66149
55160011,55160,A,550909.89,4911851.97
55160012,55160,A,627557,4912625
55160013,55160,A,550846.34,4911834.37
55160014,55160,A,550839.83,4912032.6
55190002,55190,R,572573,4868576
55190003,55190,R,572573,4868576
55200001,55200,R,559035,4875735
55200002,55200,R,560211,4876069
55200003,55200,R,554943,4878951
55200004,55200,R,558500,4875600
55210001,55210,R,571304.761564,4897966.62616
55210002,55210,R,570100,4897600
55270002,55270,R,504216,4922875
55300001,55300,R,554368,4888796
55300002,55300,R,553969,4888818
55300003,55300,R,551499,4890246
55320001,55320,R,544753,4907735
55400003,55400,R,564300,4921700
55430001,55430,R,538665,4916825
55500001,55500,R,532551,4867688
55500002,55500,R,532119,4868769
55500003,55500,R,530575.061,4869905.078
55600001,55600,R,537300,4951400
55700005,55700,R,520236.477669,4948340.62537
55700006,55700,R,520339.75146027,4948385.3119268
55800002,55800,R,499300,4882500
56000001,56000,R,-275507,4766113
56000002,56000,R,-280336.454446,4766917.22685
56000003,56000,R,-274300,4764400
56000004,56000,R,-279400,4766600
56000005,56000,R,-277600,4763900
56000006,56000,R,47.664,-2.766
